column_id,original_question,excel_index
c0_拼音序,拼音序,0
c1_公司简称,公司简称,1
c2_科技战略定位1_1已发文明确哪些公司级的战略或规划,1.科技战略定位1.1已发文明确哪些公司级的战略或规划？(金融科技发展战略),2
c3_数字化转型发展战略,1 (数字化转型发展战略),3
c4_科技外包战略,1 (科技外包战略),4
c5_数据治理战略,1 (数据治理战略),5
c6_信息安全整体规划,1 (信息安全整体规划),6
c7_公司级的人工智能规划,1 (公司级的人工智能规划),7
c8_以上均无发文明确,1 (以上均无发文明确),8
c9_针对信托业务三分类新规_目前已开展了哪些主要的配套,1.2针对信托业务三分类新规，目前已开展了哪些主要的配套准备工作？(已制定系统改造或新建路线图),9
c10_已成立跨部门专项工作组,1.2(已成立跨部门专项工作组),10
c11_已完成部分业务系统改造或新建,1.2(已完成部分业务系统改造或新建),11
c12_尚无明确计划,1.2(尚无明确计划),12
c13_2_资源投入与配置2_1_信息科技投入_不含自有科,(1)2.资源投入与配置2.1 信息科技投入（不含自有科技员工薪酬）：2023年：___,13
c14_万元_2024年,(2) 万元；2024年：___,14
c15_万元_2025年,(3)万元；2025年：___,15
c16_万元_2026年预算_万元,(4) 万元；2026年预算：___万元。,16
c17_其中_2023_2025期间_在以下领域的大致分配,(1)其中，2023-2025期间，在以下领域的大致分配比例是？（请估算并加总为100%）基础设施建设投入：___%；,17
c18_系统开发项目投入,(1)系统开发项目投入：___%；,18
c19_其他,(1)其他：___%。,19
c20_2_2人员配置_1_公司员工总人数_人,(1)2.2人员配置（1）公司员工总人数：___ 人。,20
c21_2_自有科技团队总人数,(1)（2）自有科技团队总人数：___,21
c22_人_正式,(2) 人。（正式：___,22
c23_人_派遣,(3) 人，派遣：___,23
c24_人_借调_人,(4) 人，借调：___ 人）,24
c25_其中_按职能维度_应用系统建设_人,(1)其中，按职能维度：应用系统建设：___人；,25
c26_基础设施运维_人,(1)基础设施运维：___人；,26
c27_业务分析与产品_人,(1)业务分析与产品：___人；,27
c28_嵌入业务式_人,(1)嵌入业务式：___人；,28
c29_研发质量保障_人,(1)研发质量保障：___人。,29
c30_其中_按专人专岗维度_数据管理岗,(1)其中，按专人专岗维度：数据管理岗：___,30
c31_人_信息安全岗,(2)人；信息安全岗：___,31
c32_人_科技审计岗,(3)人；科技审计岗：___,32
c33_人_科技风险管理岗,(4)人；科技风险管理岗：___,33
c34_人_其他,(5)人；（其他：___,34
c35_岗_人数_人,(6)岗，人数：___人）。,35
c36_3_科技外包团队总人数_人,(1)（3）科技外包团队总人数：___人。,36
c37_其中_按合作模式_项目制外包人员_人,(1)其中，按合作模式：项目制外包人员：___人；,37
c38_长期驻场人员_人,(1)长期驻场人员：___人；,38
c39_长期驻场人员中_按职能维度_开发与测试_人,(1)长期驻场人员中，按职能维度：开发与测试：___人；,39
c40_软件运维_应用运维_人,(1)软件运维（应用运维）：___人；,40
c41_基础设施运维_人_1,(1)基础设施运维：___人；.1,41
c42_信息安全_人,(1)信息安全：___人。,42
c43_组织架构与人才培养3_1是否已设立以下信息科技相关,3.组织架构与人才培养3.1是否已设立以下信息科技相关的治理机构？(信息科技管理委员会（或承担信息化工作的委员会）),43
c44_数字化转型战略委员会或领导小组,3 (数字化转型战略委员会或领导小组),44
c45_信息科技风险管理委员会或领导小组,3 (信息科技风险管理委员会或领导小组),45
c46_业务连续性管理委员会或应急领导小组,3 (业务连续性管理委员会或应急领导小组),46
c47_数据管理委员会或领导小组,3 (数据管理委员会或领导小组),47
c48_网络安全与信息化委员会或领导小组,3 (网络安全与信息化委员会或领导小组),48
c49_金融科技与创新委员会或领导小组,3 (金融科技与创新委员会或领导小组),49
